gene	subtype	total_sample	del_sample	amp_sample	diploid	del_percent	amp_percent
IGF2BP3	LumB	192	31	69	92	16.1458333333333	35.9375
IGF2BP3	Normal	22	1	4	17	4.54545454545455	18.1818181818182
HNRNPA2B1	Basal	135	38	47	50	28.1481481481481	34.8148148148148
HNRNPA2B1	Her2	67	6	24	37	8.95522388059701	35.8208955223881
HNRNPA2B1	LumA	415	21	112	282	5.06024096385542	26.9879518072289
HNRNPA2B1	LumB	192	27	71	94	14.0625	36.9791666666667
HNRNPA2B1	Normal	22	0	3	19	0	13.6363636363636
CBLL1	Basal	135	12	69	54	8.88888888888889	51.1111111111111
CBLL1	Her2	67	19	16	32	28.3582089552239	23.8805970149254
CBLL1	LumA	415	54	76	285	13.0120481927711	18.3132530120482
CBLL1	LumB	192	46	38	108	23.9583333333333	19.7916666666667
CBLL1	Normal	22	1	0	21	4.54545454545455	0
YTHDF3	Basal	135	10	96	29	7.40740740740741	71.1111111111111
YTHDF3	Her2	67	5	41	21	7.46268656716418	61.1940298507463
YTHDF3	LumA	415	21	174	220	5.06024096385542	41.9277108433735
YTHDF3	LumB	192	10	135	47	5.20833333333333	70.3125
YTHDF3	Normal	22	0	8	14	0	36.3636363636364
KIAA1429	Basal	135	4	114	17	2.96296296296296	84.4444444444444
KIAA1429	Her2	67	3	46	18	4.47761194029851	68.6567164179104
KIAA1429	LumA	415	10	203	202	2.40963855421687	48.9156626506024
KIAA1429	LumB	192	4	152	36	2.08333333333333	79.1666666666667
KIAA1429	Normal	22	0	9	13	0	40.9090909090909
EIF3A	Basal	135	64	24	47	47.4074074074074	17.7777777777778
EIF3A	Her2	67	26	12	29	38.8059701492537	17.910447761194
EIF3A	LumA	415	81	21	313	19.5180722891566	5.06024096385542
EIF3A	LumB	192	82	27	83	42.7083333333333	14.0625
EIF3A	Normal	22	5	0	17	22.7272727272727	0
ZC3H13	Basal	135	86	14	35	63.7037037037037	10.3703703703704
ZC3H13	Her2	67	35	9	23	52.2388059701493	13.4328358208955
ZC3H13	LumA	415	147	30	238	35.421686746988	7.2289156626506
ZC3H13	LumB	192	118	15	59	61.4583333333333	7.8125
ZC3H13	Normal	22	6	2	14	27.2727272727273	9.09090909090909
HNRNPC	Basal	135	78	23	34	57.7777777777778	17.037037037037
HNRNPC	Her2	67	14	18	35	20.8955223880597	26.865671641791
HNRNPC	LumA	415	49	49	317	11.8072289156626	11.8072289156626
HNRNPC	LumB	192	40	67	85	20.8333333333333	34.8958333333333
HNRNPC	Normal	22	2	3	17	9.09090909090909	13.6363636363636
METTL3	Basal	135	81	19	35	60	14.0740740740741
METTL3	Her2	67	14	18	35	20.8955223880597	26.865671641791
METTL3	LumA	415	48	49	318	11.566265060241	11.8072289156626
METTL3	LumB	192	39	68	85	20.3125	35.4166666666667
METTL3	Normal	22	2	2	18	9.09090909090909	9.09090909090909
FTO	Basal	135	53	26	56	39.2592592592593	19.2592592592593
FTO	Her2	67	30	17	20	44.7761194029851	25.3731343283582
FTO	LumA	415	264	51	100	63.6144578313253	12.289156626506
FTO	LumB	192	109	33	50	56.7708333333333	17.1875
FTO	Normal	22	5	4	13	22.7272727272727	18.1818181818182
METT10D	Basal	135	84	17	34	62.2222222222222	12.5925925925926
METT10D	Her2	67	58	1	8	86.5671641791045	1.49253731343284
METT10D	LumA	415	209	20	186	50.3614457831325	4.81927710843374
METT10D	LumB	192	135	16	41	70.3125	8.33333333333333
METT10D	Normal	22	6	0	16	27.2727272727273	0
ALKBH5	Basal	135	87	13	35	64.4444444444444	9.62962962962963
ALKBH5	Her2	67	49	8	10	73.134328358209	11.9402985074627
ALKBH5	LumA	415	181	33	201	43.6144578313253	7.95180722891566
ALKBH5	LumB	192	128	18	46	66.6666666666667	9.375
ALKBH5	Normal	22	6	0	16	27.2727272727273	0
IGF2BP1	Basal	135	62	21	52	45.9259259259259	15.5555555555556
IGF2BP1	Her2	67	24	33	10	35.8208955223881	49.2537313432836
IGF2BP1	LumA	415	55	115	245	13.2530120481928	27.710843373494
IGF2BP1	LumB	192	32	108	52	16.6666666666667	56.25
IGF2BP1	Normal	22	5	1	16	22.7272727272727	4.54545454545455
ZNF217	Basal	135	14	75	46	10.3703703703704	55.5555555555556
ZNF217	Her2	67	1	41	25	1.49253731343284	61.1940298507463
ZNF217	LumA	415	3	176	236	0.72289156626506	42.4096385542169
ZNF217	LumB	192	1	146	45	0.520833333333333	76.0416666666667
ZNF217	Normal	22	0	5	17	0	22.7272727272727
YTHDF1	Basal	135	13	77	45	9.62962962962963	57.037037037037
YTHDF1	Her2	67	6	39	22	8.95522388059701	58.2089552238806
YTHDF1	LumA	415	13	160	242	3.13253012048193	38.5542168674699
YTHDF1	LumB	192	6	136	50	3.125	70.8333333333333
YTHDF1	Normal	22	0	5	17	0	22.7272727272727
RBMX	Basal	135	29	45	61	21.4814814814815	33.3333333333333
RBMX	Her2	67	13	17	37	19.4029850746269	25.3731343283582
RBMX	LumA	415	53	45	317	12.7710843373494	10.8433734939759
RBMX	LumB	192	46	34	112	23.9583333333333	17.7083333333333
RBMX	Normal	22	1	1	20	4.54545454545455	4.54545454545455
FMR1	Basal	135	32	45	58	23.7037037037037	33.3333333333333
FMR1	Her2	67	13	18	36	19.4029850746269	26.865671641791
FMR1	LumA	415	53	45	317	12.7710843373494	10.8433734939759
FMR1	LumB	192	47	36	109	24.4791666666667	18.75
FMR1	Normal	22	2	2	18	9.09090909090909	9.09090909090909
