tumorVSnormal_PValue	tumorVSnormal_diff	gene	Group	Island
cg10201388	0.822505729953506	-9.90029051520271e-05	RPGRIP1L;FTO;RPGRIP1L;RPGRIP1L;RPGRIP1L	1stExon;TSS200;5'UTR;5'UTR;1stExon	Island
cg10227678	5.10178358265325e-10	-0.145069314880508	FTO	Body	
cg10331105	0.00542254887269227	-0.00228955021241184	FTO	Body	
cg12495954	0.635687876083893	-0.000914651308777603	FTO;RPGRIP1L;RPGRIP1L	Body;TSS1500;TSS1500	Island
cg26580413	3.03231637314029e-07	-0.0786686258193544	FTO	Body	
cg26651810	0.071030794360428	0.0060633636987395	FTO	Body	
cg26692097	0.0027708279461246	0.00550625191608636	FTO;RPGRIP1L;RPGRIP1L	Body;TSS1500;TSS1500	Island
cg26695784	6.07173585634876e-15	-0.177699017503904	FTO	Body	
cg26746331	0.000613055475518279	0.00109844304296413	FTO;RPGRIP1L;RPGRIP1L	TSS1500;5'UTR;5'UTR	N_Shore
cg26982104	0.305177104266603	0.00203245740813734	FTO	Body	
cg27021131	0.558601883495308	-0.00434672841939298	RPGRIP1L;RPGRIP1L;FTO;FTO	TSS200;TSS200;1stExon;5'UTR	Island
cg27401543	0.19801996257414	-0.00048405451174538	FTO	Body	
cg00163199	0.000265238515210839	0.0594203528518652	ALKBH5	Body	S_Shore
cg00591342	0.099388837795298	-5.17211930101194e-05	ALKBH5	TSS1500	Island
cg01147923	0.863831174901412	-0.00232233244280945	ALKBH5	1stExon	Island
cg04560979	0.00543878249787829	-0.0090607855589139	ALKBH5;ALKBH5	5'UTR;1stExon	Island
cg04904530	1.33123410469451e-07	0.00307480693148793	ALKBH5	TSS1500	Island
cg05395061	0.00769470424284314	0.000579249332107037	ALKBH5	TSS200	Island
cg07146173	2.01277673876682e-05	0.00134983503408803	ALKBH5;ALKBH5	5'UTR;1stExon	Island
cg07166550	4.69534439668707e-09	0.0955584796858354	ALKBH5	Body	S_Shore
cg09745160	0.870758288299918	-0.00282435801982498	ALKBH5	TSS200	Island
cg13204529	0.00270084030810103	0.000875549278091714	ALKBH5	TSS200	Island
cg14515250	1.37742890819217e-06	0.00122449451816827	ALKBH5	TSS1500	Island
cg14715602	1.69888697866356e-09	0.024245549570068	ALKBH5	Body	S_Shore
cg15218777	9.99742190234898e-29	0.0591921728784375	ALKBH5	3'UTR	
cg17468553	0.00191922168538543	0.000692675805486273	ALKBH5;ALKBH5	5'UTR;1stExon	Island
cg17865108	0.557946356607374	-0.00429112687776464	ALKBH5	TSS200	Island
cg20309353	0.369405993120449	0.0231695367815583	ALKBH5	Body	S_Shore
cg22247039	1.44398039679732e-08	0.00178352019737502	ALKBH5	TSS200	Island
cg22622440	0.120908682304601	0.0426261507467262	ALKBH5	Body	Island
cg24318076	2.13024429794345e-15	0.132652681061038	ALKBH5	Body	S_Shelf
cg27376072	6.19874993050297e-38	0.149538280120878	ALKBH5	Body	
cg01804429	0.10013145297116	0.0409633031139141	YTHDC1;YTHDC1	TSS1500;TSS1500	S_Shore
cg04094193	0.0775887904800428	-0.0569112563687049	YTHDC1;YTHDC1	TSS1500;TSS1500	S_Shore
cg04630161	0.0205478372449144	-0.00849779777807036	YTHDC1;YTHDC1	Body;Body	
cg04676463	0.939184523673379	-0.00293345815267376	YTHDC1;YTHDC1	TSS200;TSS200	Island
cg05693561	0.28647791798712	-0.00157159228601884	YTHDC1;YTHDC1	Body;Body	N_Shore
cg05728201	0.542702593922255	-0.00109840946583156	YTHDC1;YTHDC1;YTHDC1;YTHDC1	1stExon;5'UTR;5'UTR;1stExon	Island
cg08094098	0.0161843719494211	0.000794044438604816	YTHDC1;YTHDC1	TSS200;TSS200	Island
cg09205065	0.0901821783712988	-0.00499038015153506	YTHDC1;YTHDC1	Body;Body	Island
cg13341941	0.728171591759584	-0.00103181944261899	YTHDC1;YTHDC1	Body;Body	
cg16655724	0.247040861165488	0.00100383509248317	YTHDC1;YTHDC1	TSS200;TSS200	Island
cg17780992	0.0920437284132471	-0.000973541219579911	YTHDC1;YTHDC1;YTHDC1;YTHDC1	1stExon;5'UTR;5'UTR;1stExon	Island
cg18694877	0.000904278489621999	0.00123091577979241	YTHDC1;YTHDC1	TSS200;TSS200	Island
cg20871904	0.495808235273737	0.00175907166527972	YTHDC1;YTHDC1	Body;Body	Island
cg20946504	0.467263312153114	-2.77507700843591e-05	YTHDC1;YTHDC1;YTHDC1;YTHDC1	1stExon;5'UTR;5'UTR;1stExon	Island
cg23780961	0.143298235070487	2.06937327552198e-06	YTHDC1;YTHDC1	TSS200;TSS200	S_Shore
cg23933032	0.778167095267521	-0.00273488737061849	YTHDC1;YTHDC1	TSS200;TSS200	Island
cg24701966	0.507010388345047	0.00183911078993842	YTHDC1;YTHDC1	TSS200;TSS200	S_Shore
cg24978424	0.915869557318093	-0.00213296252500049	YTHDC1;YTHDC1	TSS200;TSS200	Island
cg25886345	0.950863846655027	-0.000807279668316951	YTHDC1;YTHDC1	3'UTR;3'UTR	
cg27196999	0.865371536533446	-0.0401469087139965	YTHDC1;YTHDC1	TSS1500;TSS1500	S_Shore
cg00624976	2.44499435806243e-13	-0.0286747850333582	YTHDF1	Body	N_Shore
cg03501095	0.775923033231099	-0.00104058672389366	YTHDF1	TSS1500	Island
cg08514185	0.0694245402983728	0.000349737952378743	YTHDF1	TSS200	Island
cg10201192	0.409991699077452	-0.00289637877925286	YTHDF1	Body	N_Shelf
cg10605442	0.548974000440396	-0.000216511189944379	YTHDF1	TSS1500	Island
cg12589387	0.387764366782516	0.0157981138410792	YTHDF1	TSS1500	S_Shore
cg13587582	0.274524611732952	7.77989459701395e-05	YTHDF1	TSS200	Island
cg17364922	0.662886991377164	-0.000267098059825693	YTHDF1	Body	Island
cg18478105	0.943593358960242	0.000285158907429431	YTHDF1	TSS200	Island
cg24035218	0.064747139976555	0.00101367465218464	YTHDF1	TSS200	Island
cg24092253	0.854614277750634	0.00461944042978857	YTHDF1	TSS1500	Island
cg25041371	0.139334890516351	0.00270643878012877	YTHDF1	3'UTR	
cg25802399	3.08618390653925e-06	0.00850774390867007	YTHDF1;YTHDF1	1stExon;5'UTR	Island
cg27554509	0.0879896160321825	0.000316033810712565	YTHDF1	TSS200	Island
cg27657131	0.932703089144785	0.000461577541277972	YTHDF1	TSS200	Island
cg01637218	0.480060108802919	-0.000332604125607663	YTHDF2	Body	Island
cg02396143	0.0372132640128704	0.00294319187141418	YTHDF2;YTHDF2	5'UTR;1stExon	Island
cg03375056	0.954499863819327	-0.015233352311712	YTHDF2	TSS1500	N_Shore
cg03731740	5.04827561936806e-12	0.0816289179404073	YTHDF2	TSS1500	N_Shore
cg06836497	0.0192269756669456	0.00060161754186205	YTHDF2;YTHDF2	5'UTR;1stExon	Island
cg07397372	1.16724257116244e-05	0.0441719689338524	YTHDF2	TSS1500	N_Shore
cg07908197	9.1293960317284e-07	0.0081993985313642	YTHDF2	Body	
cg09312767	0.957356125316602	0.000417695148834416	YTHDF2;YTHDF2	5'UTR;1stExon	Island
cg12419491	0.259807208777481	0.000539138527569746	YTHDF2;YTHDF2	5'UTR;1stExon	Island
cg12451155	0.139686709855071	-0.0568089030496789	YTHDF2	Body	S_Shore
cg13242658	0.00903762684350802	0.00876572358720552	YTHDF2	TSS200	N_Shore
cg17424822	1.29839475638875e-09	0.0628567453539475	YTHDF2	3'UTR	
cg20003805	1.62827538074053e-05	0.0268473452167179	YTHDF2	TSS1500	N_Shore
cg20388635	0.00933504055937939	0.0217535898334281	YTHDF2	TSS200	Island
cg21735376	0.00923813090689962	0.029349005824902	YTHDF2	TSS200	Island
cg25273602	3.84968982511624e-06	0.0898934860362931	YTHDF2	TSS1500	N_Shore
cg25875824	0.305927646756985	0.000412411860027155	YTHDF2;YTHDF2	5'UTR;1stExon	Island
cg26495864	0.579393275801348	-0.00278530343508678	YTHDF2	Body	Island
cg27444383	0.767692628939025	-0.00336648637206376	YTHDF2	Body	Island
cg00011247	0.482444086858386	0.00014694521087899	YTHDF3	TSS200	Island
cg00189220	0.0208157204956095	-0.000102181783675742	YTHDF3	TSS1500	N_Shore
cg03582537	0.178961425848441	-0.000943563409684749	YTHDF3;YTHDF3	1stExon;5'UTR	Island
cg03922048	3.51195453109348e-05	0.0309679009912547	YTHDF3	Body	S_Shelf
cg05190994	0.0130699203923227	-1.4112614782822e-05	YTHDF3	TSS1500	Island
cg09120809	0.0904304235531474	0.000284411451262692	YTHDF3;YTHDF3	1stExon;5'UTR	Island
cg11087911	4.20823690264426e-05	0.00771051475204011	YTHDF3;YTHDF3	1stExon;5'UTR	Island
cg19145387	0.00666126635302241	-0.00407500912422092	YTHDF3	Body	Island
cg20367223	0.00133090218082917	-0.00551339508605965	YTHDF3	Body	S_Shore
cg21422024	0.0933849983615701	0.00441746886815853	YTHDF3	TSS1500	Island
cg22236894	0.237245268434539	-0.000810157082585208	YTHDF3;YTHDF3	1stExon;5'UTR	Island
cg22332388	0.568952695313154	-0.000551316807544694	YTHDF3;YTHDF3	1stExon;5'UTR	Island
cg24375476	0.572494929837381	-0.0051029423787208	YTHDF3	Body	Island
cg09868597	0.961253860626278	-0.000920507598651074	YTHDC2;YTHDC2	1stExon;5'UTR	Island
cg15614301	0.815415129165791	-0.00270005109563649	YTHDC2	Body	S_Shore
cg19440326	0.280065478372594	0.00270457305945947	YTHDC2	Body	Island
cg24145369	0.512038625403827	-0.00183330997532871	YTHDC2	3'UTR	
cg24680863	0.000811672250339924	0.00187917268865239	YTHDC2	1stExon	Island
cg25604984	0.179701258950882	-0.00288519175462409	YTHDC2	TSS200	N_Shore
cg27581816	0.543143588270443	-0.000494419626563256	YTHDC2;YTHDC2	1stExon;5'UTR	Island
cg00315606	0.863318163590859	-0.00586859808172382	HNRNPA2B1;HNRNPA2B1	Body;Body	Island
cg00393376	0.118198009098977	-0.01367953911736	HNRNPA2B1;HNRNPA2B1	Body;Body	N_Shore
cg00485380	0.0580081286867249	-0.00353993780931108	CBX3;CBX3;HNRNPA2B1;HNRNPA2B1	TSS1500;TSS1500;TSS200;TSS200	Island
cg01027929	0.635455533126624	-0.000416604621966535	HNRNPA2B1;CBX3;CBX3;HNRNPA2B1;CBX3	TSS1500;1stExon;5'UTR;TSS1500;5'UTR	Island
cg02315870	4.34654897021914e-10	-0.127961027168281	HNRNPA2B1;HNRNPA2B1	Body;Body	N_Shelf
cg02628353	0.0499768147791055	-0.000515680520883646	HNRNPA2B1;CBX3;HNRNPA2B1;CBX3	TSS1500;5'UTR;TSS1500;5'UTR	Island
cg02892618	0.197791720279098	-0.00422511204543145	HNRNPA2B1;HNRNPA2B1	Body;Body	N_Shore
cg03547487	0.34753601731527	-0.000486398341581568	CBX3;CBX3;HNRNPA2B1;HNRNPA2B1	TSS1500;TSS1500;TSS200;TSS200	Island
cg03711622	0.175925632745612	-0.00667156381844997	CBX3;HNRNPA2B1;CBX3;HNRNPA2B1	TSS1500;TSS1500;TSS200;TSS1500	Island
