probes	OS.HR	OS.P	DFS.HR	DFS.P	PFS.HR	PFS.P	gene	group
cg13682241	0.037	0.000046	0.083	0.015	0.23	0.07	RBMX	TSS200
cg14209372	0.77	0.79	0.11	0.011	0.22	0.062	RBM15	1stExon
cg14642832	0.096	0.0017	0.12	0.027	0.29	0.11	RBMX	TSS200
cg14715602	0.00086	0.054	0.000027	0.041	0.00095	0.043	ALKBH5	Body
cg14834741	0.000000012	0.043	0.00038	0.5	0.000015	0.21	EIF3A	Body
cg15023278	18000000	0.039	130	0.84	130000	0.14	EIF3A	TSS200
cg15035459	0.25	0.31	0.05	0.057	0.068	0.033	RBM15B	1stExon
cg16851485	0.023	0.014	0.46	0.71	1.3	0.89	RBMX	Body
cg17209188	0.089	0.004	0.14	0.069	0.13	0.012	IGF2BP3	Body
cg18112708	0.026	0.002	0.068	0.094	0.037	0.0023	WTAP	Body
cg18128536	3.4	0.023	0.86	0.84	1.2	0.8	IGF2BP1	Body
cg18234011	4.4	0.037	0.11	0.16	1.3	0.76	IGF2BP2	TSS1500
cg18355146	0.067	0.034	0.03	0.019	0.062	0.024	ZC3H13	Body
cg19142553	0.81	0.75	0.17	0.037	0.37	0.12	HNRNPA2B1	Body
cg19322445	0.00064	0.0012	0.0034	0.21	0.044	0.36	EIF3A	Body
cg20265043	0.88	0.78	0.16	0.0018	0.46	0.071	IGF2BP3	TSS200
cg22545138	0.83	0.77	0.077	0.0073	0.44	0.18	IGF2BP3	TSS200
cg23401436	0.26	0.44	0.013	0.016	0.086	0.11	HNRNPA2B1	3'UTR
cg23927974	0.74	0.69	0.16	0.013	0.41	0.18	METTL5	TSS1500
cg24035107	0.26	0.015	0.66	0.57	1	1	METT10D	Body
cg24092253	0.034	0.0055	1.2	0.92	0.41	0.4	YTHDF1	TSS1500
cg24318076	0.55	0.44	0.19	0.091	0.16	0.018	ALKBH5	Body
cg24909975	3100000	0.0066	11000000	0.033	20000	0.08	WTAP	TSS1500
cg24960291	0.26	0.046	0.33	0.18	0.44	0.19	IGF2BP2	Body
cg26487582	0.56	0.65	0.065	0.049	0.3	0.3	ZCCHC4	Body
cg26580413	0.11	0.017	0.37	0.38	0.34	0.2	FTO	Body
cg26651810	0.25	0.031	0.26	0.092	0.32	0.068	FTO	Body
cg26710891	0.24	0.087	0.15	0.078	0.17	0.023	METT10D	Body
cg26982104	0.014	0.0062	0.067	0.13	0.068	0.049	FTO	Body
cg27064928	2	0.39	8.3	0.017	3.5	0.086	FMR1	Body
cg27135125	0.92	0.85	0.19	0.0041	0.49	0.099	IGF2BP3	TSS200
cg27138147	0.11	0.0045	0.25	0.16	0.45	0.28	RBMX	TSS200
cg27196999	0.37	0.064	0.21	0.016	0.41	0.089	YTHDC1	TSS1500
cg27401543	0.022	0.02	0.006	0.015	0.014	0.015	FTO	Body
